Material,Sector,Gross_Export,Pais
Semiconductor devices,Electronics,140729114,China
Electronic integrated circuits,Electronics,1953201543,China
Electrical machines with individual functions n.e.c.,Electronics,29016395,China
Insulated electrical wire,Electronics,80958590,China
Carbon articles for eletrical purposes,Electronics,4711241,China
Electrical insulators of any material,Electronics,54222,China
Insulating fittings for electrical machines,Electronics,13377383,China
Waste and scrap of batteries,Electronics,29990242,China
Parts of railway locomotives,Vehicles,514808,China
Tractors,Vehicles,151918,China
Cars,Vehicles,318754675,China
Motor vehicles for transporting goods,Vehicles,3830221,China
Vehicle chassis fitted with engines,Vehicles,68796,China
Vehicle Bodies,Vehicles,80916,China
Parts of motor vehicles,Vehicles,797277972,China
Work trucks,Vehicles,96206,China
Wheelchairs,Vehicles,9401,China
Parts of motorcycles or wheelchairs,Vehicles,385615,China
Trailers and semi-trailers,Vehicles,2348444,China
Parts of other aircraft,Vehicles,9708030,China
Pleasure or sport boats,Vehicles,15844237,China
Other floating structures,Vehicles,1023988,China
Optical fibers,Machinery,12092486,China
Lenses and other optical elements,Machinery,2760178,China
Glasses,Machinery,44297,China
Photographic cameras,Machinery,86557,China
Cinematographic cameras and projectors,Machinery,386532,China
Electrostatic photo-copyers,Machinery,2506,China
Apparatus and equipment for photographic laboratories_ n.e.c.,Machinery,261722,China
Liquid crystal devices,Machinery,3449777,China
Navigational instruments,Machinery,3002761,China
Surveying instruments,Machinery,310150,China
Drafting tables and machines,Machinery,35913,China
Medical instruments,Machinery,602508266,China
Therapy applicances,Machinery,4313356,China
Other breathing appliances and gas masks,Machinery,2530419,China
Orthopedic appliances,Machinery,220647969,China
X-ray machines,Machinery,30035097,China
Instruments designed for demonstrational purposes,Machinery,623267,China
Machines for testing the mechanical properties of materials,Machinery,425971,China
Thermometers_ hydrometers etc.,Machinery,27163440,China
Instruments for measuring properties of liquids or gases,Machinery,57857827,China
Instruments for physical or chemical analysis,Machinery,52933223,China
Gas_ liquid or electricity meters,Machinery,216737,China
Meters,Machinery,4825246,China
Instruments for measuring electricity,Machinery,7891177,China
Measuring instruments,Machinery,36823022,China
Automatic regulating instruments,Machinery,86550997,China
Other parts for machines and appliances,Machinery,300368,China
Apparatus for measuring intervals of time,Machinery,267675,China
Time switches,Machinery,8512,China
Clock movements_ complete,Machinery,1980,China
Musical instruments_ string,Machinery,3424019,China
Musical instruments_ percussion,Machinery,2160,China
Musical instruments_ electric,Machinery,995223,China
Parts of musical instruments,Machinery,214055,China
Seats,Textiles,37441402,China
Medical_ dental or veterinary furniture,Textiles,1540302,China
Other furniture and parts,Textiles,1499588,China
Mattresses and bedding,Textiles,393051,China
Lamps,Textiles,1028212,China
Toys,Machinery,10643712,China
Games,Machinery,1312584,China
Christmas and other festivity articles,Machinery,209975,China
Sports equipment,Machinery,1088309,China
Fairground amusements,Machinery,1775276,China
Worked vegetable or mineral carving material,Machinery,12329,China
Brooms and mops,Machinery,490939,China
Buttons,Machinery,231296,China
Pens,Machinery,251115,China
Pencils_ crayons_ pastels_ etc.,Machinery,333386,China
Slates and boards_ with writing or drawing surfaces,Machinery,1587,China
Typewriter ribbons and ink pads,Machinery,88804,China
Cigarette lighters,Machinery,77109,China
Scent sprays,Machinery,282071,China
Mannequins,Machinery,157494,China
Paintings and drawings,Textiles,1223803,China
Sculptures,Textiles,23284,China
Collectors pieces,Textiles,4489,China
Commodities not specified according to kind,Other,41753204,China
Horses,Agriculture,21351,Alemania
Other live animals,Agriculture,14658,Alemania
Horse meat,Agriculture,57446,Alemania
Fish_ excluding fillets,Agriculture,310148,Alemania
Fish fillets,Agriculture,80896,Alemania
Crustaceans,Agriculture,32396,Alemania
Cheese,Agriculture,3816,Alemania
Honey,Agriculture,44924852,Alemania
Whalebone & horns,Agriculture,158555,Alemania
Coral and shells,Agriculture,1116,Alemania
Animal products n.e.c.,Agriculture,121692,Alemania
Flower bulbs,Agriculture,5896,Alemania
Other live plants,Agriculture,145272,Alemania
Other parts of plants,Agriculture,483783,Alemania
Tomatoes,Agriculture,8377,Alemania
Onions_ shallots_ garlic,Agriculture,155469,Alemania
Carrots & turnips,Agriculture,9776,Alemania
Cucumbers,Agriculture,27755,Alemania
Other vegetables,Agriculture,5897735,Alemania
Frozen vegetables,Agriculture,77687,Alemania
Vegetables_ provisionally preserved,Agriculture,1094,Alemania
Legumes_ dried,Agriculture,314839,Alemania
Tubers,Agriculture,8512,Alemania
Other nuts,Agriculture,1215426,Alemania
Bananas and plantains,Agriculture,193717,Alemania
Avocados_ pineapples_ mangos_ etc.,Agriculture,15626702,Alemania
Citrus fruit,Agriculture,14566085,Alemania
Grapes,Agriculture,5727,Alemania
Melons and papayas,Agriculture,346983,Alemania
Other fresh fruit,Agriculture,15010653,Alemania
Fruits and nuts_ frozen,Agriculture,1320080,Alemania
Fruits and nuts_ provisionally preserved,Agriculture,156698,Alemania
Peel of citrus fruit or melons,Agriculture,7692165,Alemania
Coffee,Agriculture,15681553,Alemania
Tea,Agriculture,3703,Alemania
Pepper,Agriculture,2408601,Alemania
Vanilla,Agriculture,105843,Alemania
Spices,Agriculture,12935,Alemania
Corn,Agriculture,20701,Alemania
Rice,Agriculture,58354,Alemania
Other cereals,Agriculture,2039,Alemania
Cereal flours,Agriculture,35843,Alemania
Cereal meals,Agriculture,72438,Alemania
Starches,Agriculture,550743,Alemania
Other oil seeds,Agriculture,3589375,Alemania
Flours of oil seeds,Agriculture,11343,Alemania
Seeds used for sowing,Agriculture,920192,Alemania
Plants used in perfumery_ pharmacy or insecticide,Agriculture,1297625,Alemania
Lac,Agriculture,8091,Alemania
Vegetable saps and extracts,Agriculture,3365309,Alemania
Vegetable materials used for plaiting,Agriculture,159301,Alemania
Vegetable products n.e.c.,Agriculture,518601,Alemania
Peanut oil,Agriculture,3619,Alemania
Sunflower seed oil,Agriculture,875956,Alemania
Other vegetable fats and oils,Agriculture,2891364,Alemania
Stearic acid,Agriculture,17952,Alemania
Glycerol,Agriculture,1147,Alemania
Vegetable waxes and beeswax,Agriculture,1073099,Alemania
Extracts and juices of meat or fish,Agriculture,2388,Alemania
Prepared aquatic invertibrates,Agriculture,10397,Alemania
Other sugars,Agriculture,17783541,Alemania
Confectionery sugar,Agriculture,247347,Alemania
Cocoa butter,Agriculture,12112714,Alemania
Chocolates,Agriculture,47134,Alemania
Malt extract,Agriculture,8664,Alemania
Pasta,Agriculture,1362,Alemania
Cereal foods,Agriculture,37476,Alemania
Bakery products,Agriculture,85108,Alemania
Pickled fruits and vegetables,Agriculture,3474823,Alemania
Tomatoes_ prepared or preserved,Agriculture,47753,Alemania
Mushrooms_ prepared or preserved,Agriculture,8555,Alemania
Other vegetables_ frozen,Agriculture,8171,Alemania
Other vegetables_ prepared or preserved,Agriculture,286971,Alemania
Jams_ jellies and marmalades,Agriculture,123538,Alemania
Fruits and nuts_ otherwise prepared,Agriculture,4322039,Alemania
Fruit juices,Agriculture,8470546,Alemania
Coffee extracts,Agriculture,2215517,Alemania
Yeasts,Agriculture,146042,Alemania
Sauces and seasonings,Agriculture,809768,Alemania
Soups and broths,Agriculture,1129,Alemania
Food preparations n.e.c.,Agriculture,103322,Alemania
Waters,Agriculture,9589,Alemania
Waters_ flavored or sweetened,Agriculture,422319,Alemania
Beer,Agriculture,5443662,Alemania
Wine,Agriculture,6098,Alemania
Spirits < 80% alcohol,Agriculture,32900126,Alemania
Solid vegetable oil and fat residues,Agriculture,1744,Alemania
Vegetable materials for animal feeding,Agriculture,2947680,Alemania
Animal feed,Agriculture,377654,Alemania
Unmanufactured tobacco,Agriculture,1274183,Alemania
Cigars and cigarettes,Agriculture,325588,Alemania
Salt,Minerals,32450,Alemania
Natural graphite,Minerals,68644,Alemania
Chalk,Minerals,20895,Alemania
Siliceous fossil meals and earths,Minerals,1036660,Alemania
Gravel,Minerals,1027,Alemania
Natural magnesia,Minerals,2064677,Alemania
Limstone,Minerals,1340,Alemania
Cements,Minerals,121557,Alemania
Feldspar,Minerals,2658902,Alemania
Mineral substances n.e.c.,Minerals,1950799,Alemania
Copper ore,Minerals,69688864,Alemania
Lead ore,Minerals,16181100,Alemania
Zinc ore,Minerals,11147198,Alemania
Molybdenum ore,Minerals,4350147,Alemania
Precious metal ores,Minerals,91502424,Alemania
Slag_ ash and residues containing metals,Minerals,4858475,Alemania
Petroleum oils_ crude,Minerals,21813484,Alemania
Petroleum oils_ refined,Minerals,5030348,Alemania
Carbon,Chemicals,1455,Alemania
Silicon & rare gases,Chemicals,4258,Alemania
Hydroxides or peroxides of magnesium,Chemicals,1919712,Alemania
Zinc oxide or peroxide,Chemicals,514807,Alemania
Aluminum oxide,Chemicals,2089,Alemania
Manganese oxides,Chemicals,46078,Alemania
Iron oxides and hydroxides,Chemicals,2747,Alemania
Titanium oxides,Chemicals,10883,Alemania
Lead oxides,Chemicals,1516,Alemania
Metal base oxides_ n.e.c.,Chemicals,1096370,Alemania
Flourides,Chemicals,173478,Alemania
Chlorides_ bromides_ iodides etc.,Chemicals,10806,Alemania
Sulfates,Chemicals,7757066,Alemania
Nitrites_ nitrates,Chemicals,32360,Alemania
Phosphates,Chemicals,921135,Alemania
Cyanides,Chemicals,1858,Alemania
Borates,Chemicals,347342,Alemania
Salts of oxometallic acids,Chemicals,1302504,Alemania
Other salts of acids,Chemicals,6223,Alemania
Compounds of precious metals,Chemicals,11140,Alemania
Carbides,Chemicals,2101,Alemania
Inorganic compounds_ liquid or compressed air,Chemicals,2483685,Alemania
Cyclic hydrocarbons,Chemicals,864168,Alemania
Acyclic alcohols,Chemicals,1004517,Alemania
Cyclic alcohols,Chemicals,5579,Alemania
Phenols_ phenol-alcohols,Chemicals,78890,Alemania
Derivatives of phenols,Chemicals,1601182,Alemania
Ethers,Chemicals,23642,Alemania
Acetals and hemiacetals,Chemicals,9678,Alemania
Aldehydes,Chemicals,1610941,Alemania
Ketones and quinones,Chemicals,2673385,Alemania
Saturated acyclic monocarboxylic acids,Chemicals,13061669,Alemania
Unsaturated acyclic monocarboxylic acids,Chemicals,1529740,Alemania
Polycarboxylic acids,Chemicals,2365589,Alemania
Carboxylic acids with additional oxygen function,Chemicals,9010216,Alemania
Esters of other inorganic acids of nonmetals,Chemicals,322639,Alemania
Amine-function compounds,Chemicals,3470045,Alemania
Oxygen-function amino-compounds,Chemicals,1194269,Alemania
Quaternary ammonium salts and hydroxides,Chemicals,61359,Alemania
Nitrile-function compounds,Chemicals,705374,Alemania
Diazo-_ azo-_ or azoxy-compounds,Chemicals,109305,Alemania
Organix derivatives of hydrazine,Chemicals,734866,Alemania
Organo-sulfur compounds,Chemicals,6755,Alemania
Heterocyclic compounds with oxygen hetero-atom(s) only,Chemicals,124259,Alemania
Heterocyclic compounds with nitrogen hetero-atom(s) only,Chemicals,762667,Alemania
Nucleic acids and their salts,Chemicals,1580368,Alemania
Hormones,Chemicals,15242329,Alemania
Antibiotics,Chemicals,1087907,Alemania
Other organic compounds,Chemicals,3180,Alemania
Heparin for therapeutic use,Chemicals,4696,Alemania
Serums and vaccines,Chemicals,592304,Alemania
Medicaments_ packaged,Chemicals,7589391,Alemania
Wadding_ gauze and bandages,Chemicals,20314708,Alemania
Pharmaceutical goods,Chemicals,11283575,Alemania
Animal or vegetable fertilizers,Chemicals,2748,Alemania
Nitrogenous fertilizers,Chemicals,8012,Alemania
Mixed fertilizers,Chemicals,300918,Alemania
Coloring matter of animal or vegetable origin,Chemicals,368473,Alemania
Synthetic organic coloring matter,Chemicals,19753649,Alemania
Color lakes,Chemicals,204717,Alemania
Other coloring matter,Chemicals,21373151,Alemania
Prepared pigments,Chemicals,328216,Alemania
Paints and varnishes_ nonaqueous,Chemicals,7503,Alemania
Paints and varnishes_ aqueous,Chemicals,9672,Alemania
Other paints and varnishes,Chemicals,313621,Alemania
Pigments_ nonaqueous,Chemicals,20820,Alemania
Artists' colors,Chemicals,18100,Alemania
Glaziers' putty,Chemicals,216510,Alemania
Ink,Chemicals,1052142,Alemania
Essential oils,Chemicals,11169661,Alemania
Mixtures of odoriferous subtances,Chemicals,506406,Alemania
Perfumes,Chemicals,368151,Alemania
Make-up preparations,Chemicals,2856422,Alemania
Hair products,Chemicals,4675723,Alemania
Dental hygiene products,Chemicals,208231,Alemania
Toiletries,Chemicals,239954,Alemania
Soap,Chemicals,303047,Alemania
Cleaning products,Chemicals,316973,Alemania
Lubricants,Chemicals,761871,Alemania
Artificial and prepared waxes,Chemicals,12495,Alemania
Albumins,Chemicals,137907,Alemania
Gelatin,Chemicals,20349,Alemania
Peptones,Chemicals,841576,Alemania
Glues and adhesives,Chemicals,214717,Alemania
Enzymes,Chemicals,1660789,Alemania
Photographic plates,Chemicals,12938559,Alemania
Photographic film in rolls,Chemicals,23312,Alemania
Photographic film_ developed,Chemicals,1155,Alemania
Chemical preparations for photographic uses,Chemicals,73935,Alemania
Activated carbon,Chemicals,1123457,Alemania
Residual lyes,Chemicals,2719,Alemania
Turpentines,Chemicals,185962,Alemania
Rosin and resin acids,Chemicals,672571,Alemania
Insecticides_ rodenticides_ fungicides_ etc.,Chemicals,191197,Alemania
Finishing agents,Chemicals,2157345,Alemania
Pickling preparations for metal surfaces,Chemicals,6680,Alemania
Anti-knock,Chemicals,736446,Alemania
Stabilizers for rubber or plastic,Chemicals,645365,Alemania
Catalytic preparations,Chemicals,474955,Alemania
Prepared culture media for micro-organisms,Chemicals,6430,Alemania
Diagnostic or laboratory reagents,Chemicals,91028,Alemania
Industrial monocarboxylic fatty acids,Chemicals,4783935,Alemania
Polymers of ethylene,Chemicals,6652872,Alemania
Polymers of propylene,Chemicals,28510,Alemania
Polymers of styrene,Chemicals,142611,Alemania
Polymers of vinyl chloride,Chemicals,1358999,Alemania
Polymers of vinyl acetate,Chemicals,8320,Alemania
Acrylic polymers,Chemicals,287346,Alemania
Polyacetals,Chemicals,665217,Alemania
Polyamides,Chemicals,377904,Alemania
Amino-resins,Chemicals,563162,Alemania
Silicones in primary forms,Chemicals,19615,Alemania
Petroleum resins,Chemicals,78988,Alemania
Cellulose n.e.c.,Chemicals,6699782,Alemania
Natural polymers,Chemicals,2145,Alemania
Plastic waste,Chemicals,22449,Alemania
Monofilament,Chemicals,206772,Alemania
Plastic tubes and fittings,Chemicals,8668681,Alemania
Self-adhesive plastic sheets,Chemicals,2695024,Alemania
Other plates of plastics_ noncellular and not reinforced,Chemicals,7675870,Alemania
Other plastic plates_ sheets etc.,Chemicals,1943001,Alemania
Packing lids,Chemicals,2832379,Alemania
Plastic household articles,Chemicals,729108,Alemania
Plastic builders' ware,Chemicals,9222,Alemania
Other articles of plastic,Chemicals,33195374,Alemania
Natural rubber,Chemicals,1474,Alemania
Synthetic rubber,Chemicals,4595238,Alemania
Reclaimed rubber,Chemicals,10990,Alemania
Compounded rubber,Chemicals,477174,Alemania
Unvulcanized rubber rods,Chemicals,7422,Alemania
Vulcanized rubber plates,Chemicals,723216,Alemania
Vulcanized rubber tubes,Chemicals,1436711,Alemania
Conveyor belts of vulcanized rubber,Chemicals,1657635,Alemania
New pneumatic tires of rubber,Chemicals,7648218,Alemania
Used pneumatic tires of rubber,Chemicals,192302,Alemania
Vulcanized rubber articles of apparel,Chemicals,801458,Alemania
Other articles of vulcanized rubber,Chemicals,7264755,Alemania
Hard rubber,Chemicals,9447,Alemania
Tanned hides of bovines or equines,Agriculture,1064649,Alemania
Bovine leather further prepared,Agriculture,1877,Alemania
Waste of leather,Agriculture,49434,Alemania
Saddlery and harnesses,Agriculture,76253,Alemania
Trunks or cases,Agriculture,1348643,Alemania
Leather apparel,Agriculture,95257,Alemania
Other articles of leather,Agriculture,266196,Alemania
Wood in the rough,Agriculture,145145,Alemania
Wood sawn lengthwise,Agriculture,5530,Alemania
Sheets for veneering for plywood,Agriculture,1784,Alemania
Wooden frames,Agriculture,3010,Alemania
Packing boxes,Agriculture,65611,Alemania
Casks_ barrels_ etc. of wood,Agriculture,41669,Alemania
Wooden kitchenware,Agriculture,2334,Alemania
Wood marquetry_ ornaments_ etc.,Agriculture,17817,Alemania
Other articles of wood,Agriculture,18900,Alemania
Basketwork,Agriculture,3396,Alemania
Uncoated kraft paper and paperboard,Agriculture,1203,Alemania
Uncoated composite paper,Agriculture,3556,Alemania
Corrugated paper and paperboard,Agriculture,5844,Alemania
Cellulose wadding_ coated,Agriculture,1092411,Alemania
Other carbon paper,Agriculture,164449,Alemania
Toilet paper,Agriculture,1151623,Alemania
Cardboard packing containers,Agriculture,349189,Alemania
Notebooks,Agriculture,5690,Alemania
Paper labels,Agriculture,259987,Alemania
Other paper cut to size,Agriculture,1336906,Alemania
Books_ brochures etc.,Agriculture,253603,Alemania
Newspapers_ journals and periodicals,Agriculture,18089,Alemania
Children's books,Agriculture,1605,Alemania
Transfers (decalcomanias),Agriculture,2326,Alemania
Printed or illustrated postcards,Agriculture,1884,Alemania
Calendars,Agriculture,4481,Alemania
Other printed matter,Agriculture,474575,Alemania
Woven fabrics of carded wool,Textiles,190316,Alemania
Woven fabrics of combed wool,Textiles,37564,Alemania
Woven fabrics of cotton of < 85% weighing > 200 g/m2,Textiles,2654,Alemania
Woven fabrics of cotton of < 85% weighing < 200 g/m2,Textiles,4187,Alemania
Woven fabrics of cotton of < 85% weighing > 200 g/m2,Textiles,3641,Alemania
Woven fabrics of flax,Textiles,51303,Alemania
Synthetic sowing thread,Textiles,15163,Alemania
Synthetic filament yarn,Textiles,10568485,Alemania
Synthetic monofilament >67 dtex_ thickness < 1mm,Textiles,2758324,Alemania
Artificial monofilament >67dtex t<1mm_ strip_ straws t<5mm,Textiles,7784,Alemania
Woven fabrics of synthetic filament yarn,Textiles,9734,Alemania
Synthetic staple fibers,Textiles,100459,Alemania
Waste of man-made fibers,Textiles,14105,Alemania
Synthetic staple fibers sewing thread,Textiles,3500,Alemania
Woven fabrics of > 85% synthetic staple fibers,Textiles,100864,Alemania
Woven fabrics of artificial staple fibers,Textiles,5119,Alemania
Felt,Textiles,26342,Alemania
Nonwoven textiles,Textiles,4576564,Alemania
Gimp yarn,Textiles,11092,Alemania
Twine and ropes of baste fibers,Textiles,12970,Alemania
Nets,Textiles,26416,Alemania
Articles of yarn_ rope etc not elsewhere clasified,Textiles,18169,Alemania
Woven carpets and rugs,Textiles,7904,Alemania
Carpets_ tufted,Textiles,74376,Alemania
Other carpets,Textiles,2727,Alemania
Narrow woven fabrics,Textiles,18588,Alemania
Labels and badges of textiles,Textiles,1194,Alemania
Braids in piece,Textiles,9841,Alemania
Embroidery in the piece,Textiles,2647,Alemania
Textile fabrics impregnated with plastics,Textiles,650011,Alemania
Rubberized textile fabrics,Textiles,135737,Alemania
Transmission belts or belting_ of textile material,Textiles,9999,Alemania
Textile articles for technical use,Textiles,1589713,Alemania
Other knitted fabrics,Textiles,23186,Alemania
Men's overcoats_ knit,Textiles,33024,Alemania
Women's overcoats_ knit,Textiles,20956,Alemania
Men's suits_ knit,Textiles,83842,Alemania
Women's suits_ knit,Textiles,303572,Alemania
Men's shirts_ knit,Textiles,24299,Alemania
Women's shirts_ knit,Textiles,336487,Alemania
Men's undergarments_ knit,Textiles,80315,Alemania
Women's undergarments_ knit,Textiles,21540,Alemania
T-shirts_ knit,Textiles,3389896,Alemania
Sweaters_ pullovers_ sweatshirts etc._ knit,Textiles,448773,Alemania
Babies' garments_ knit,Textiles,31362,Alemania
Activewear_ knit,Textiles,1179461,Alemania
Garments knit with impregnated fibers,Textiles,1715,Alemania
Other garments_ knit,Textiles,65594,Alemania
Socks_ stockings_ etc._ knit,Textiles,6589638,Alemania
Gloves_ knit,Textiles,657678,Alemania
Other clothing accesories_ knit,Textiles,365944,Alemania
Men's overcoats_ not knit,Textiles,148571,Alemania
Womens overcoats_ not knit,Textiles,74946,Alemania
Men's suits and pants,Textiles,5554212,Alemania
Women's suits and pants,Textiles,3069942,Alemania
Men's shirts,Textiles,69521,Alemania
Women's shirts,Textiles,133031,Alemania
Babies' garments,Textiles,2704,Alemania
Garments made of textile felts and nonwoven fabric,Textiles,294128,Alemania
Activewear,Textiles,209754,Alemania
Brassieres,Textiles,629937,Alemania
Shawls_ scarves_ etc.,Textiles,23599,Alemania
Other clothing accesories,Textiles,22579,Alemania
Blankets,Textiles,8305,Alemania
House linen,Textiles,5351,Alemania
Curtains,Textiles,148373,Alemania
Other furnishing articles,Textiles,6764,Alemania
Bags for packing goods,Textiles,82664,Alemania
Tents_ tarpaulins_ etc.,Textiles,35701,Alemania
Other made up articles,Textiles,8642485,Alemania
Used or new rags textile scraps,Textiles,80054,Alemania
Waterproof footwear,Textiles,1913,Alemania
Other footwear of rubber or plastics,Textiles,261612,Alemania
Leather footwear,Textiles,501986,Alemania
Textile footwear,Textiles,520637,Alemania
Other footwear,Textiles,15958,Alemania
Hats,Textiles,29873,Alemania
Hats_ knit,Textiles,298606,Alemania
Other headgear,Textiles,11178,Alemania
Headbands,Textiles,1543,Alemania
Worked building stone,Stone,16737,Alemania
Grindstones,Stone,123439,Alemania
Natural or artificial abrasive powder,Stone,515723,Alemania
Mineral wools and insulating materials,Stone,35177,Alemania
Plaster articles,Stone,6782,Alemania
Articles of cement_ of concrete or of artificial stone,Stone,5160,Alemania
Friction material and articles thereof,Stone,34077,Alemania
Articles of stone or of other mineral substances,Stone,315723,Alemania
Bricks_ tiles and similar refractory ceramic constructional goods,Stone,121365,Alemania
Other refractory ceramic goods,Stone,21100,Alemania
Unglazed ceramic flags and pavers,Stone,33700,Alemania
Glazed ceramic flags and pavers,Stone,37243,Alemania
Ceramic wares for technical ware,Stone,8941984,Alemania
Ceramic sinks_ washbasins_ and similar sanitary fixtures,Stone,3830363,Alemania
Porcelain or china household articles,Stone,18480,Alemania
Ceramic household articles,Stone,17193,Alemania
Ornamental ceramic articles,Stone,22003,Alemania
Other ceramic articles,Stone,25752,Alemania
Glass balls,Stone,115483,Alemania
Glass_ cast or rolled,Stone,1220072,Alemania
Drawn and blown glass,Stone,25671,Alemania
Safety glass,Stone,5507908,Alemania
Glass mirrors,Stone,708690,Alemania
Glass containers for conveyance,Stone,246324,Alemania
Glassware for interior decorative use,Stone,642132,Alemania
Signaling glassware,Stone,12719,Alemania
Glass paving blocks or other molded products,Stone,43902,Alemania
Laboratory_ hygienic or pharmaceutical glassware,Stone,550600,Alemania
Glass fibers,Stone,10334085,Alemania
Other articles of glass,Stone,25434,Alemania
Precious stones,Stone,578897,Alemania
Silver,Stone,11910,Alemania
Platinum,Stone,5481408,Alemania
Scrap of precious metal,Stone,15553488,Alemania
Jewelry of precious metal,Stone,460970,Alemania
Other articles of precious metals,Stone,7795,Alemania
Articles of precious stones,Stone,21459,Alemania
Imitation jewelry,Stone,138185,Alemania
Coin,Stone,1756661,Alemania
Ferroalloys,Metals,269172,Alemania
Ferrous waste and scrap,Metals,959214,Alemania
Semifinished products of iron or nonalloy steel,Metals,33719300,Alemania
Flat-rolled iron_ width < 600mm_ not clad,Metals,120702,Alemania
Flat-rolled iron_ width < 600mm_ clad,Metals,49565,Alemania
Other bars of iron_ not further worked than forged,Metals,6206,Alemania
Angles of iron or nonalloy steel,Metals,2502,Alemania
Wire of iron or nonalloy steel,Metals,70187,Alemania
Flat-rolled products of stainless steel of a width > 600 mm,Metals,32876,Alemania
Flat-rolled products of stainless steel of a width < 600 mm,Metals,107260,Alemania
Other bars and rods of stainless steel,Metals,1877,Alemania
Wire of stainless steel,Metals,223489,Alemania
Flat-rolled products of other alloy steel_ width > 600 mm,Metals,16957,Alemania
Flat-rolled products of other alloy steel_ width < 600 mm,Metals,4158,Alemania
Other bars and rods of other alloy steel,Metals,8958,Alemania
Wire of other alloy steel,Metals,265297,Alemania
Tubes_ seamless_ of iron or steel,Metals,95757,Alemania
Other tubes_ pipes and hollow profiles of iron or steel,Metals,181512,Alemania
Tube or pipe fittings of iron or steel,Metals,1097855,Alemania
Structures and their parts_ of iron or steel,Metals,559926,Alemania
Tanks etc. > 300 liters_ iron or steel,Metals,13781,Alemania
Tanks etc. < 300 liters_ iron or steel,Metals,34600,Alemania
Containers for compressed or liquified gas,Metals,6227,Alemania
Wire of iron or steel_ not insulated,Metals,23032,Alemania
Cloth of iron or steel wire,Metals,11273,Alemania
Chain of iron or steel,Metals,26049,Alemania
Nails and similar articles of iron or steel,Metals,6695,Alemania
Screws and similar articles of iron or steel,Metals,2560879,Alemania
Articles for sewing of iron or steel,Metals,89937,Alemania
Springs of iron or steel,Metals,4545417,Alemania
Stoves and similar non-electric appliances of iron or steel,Metals,73973,Alemania
Radiators for central heating of iron or steel,Metals,4128,Alemania
Household articles of iron or steel,Metals,74883,Alemania
Other cast articles of iron or steel,Metals,153626,Alemania
Other articles of iron or steel,Metals,11038831,Alemania
Unrefined copper,Metals,798255,Alemania
Copper waste and scrap,Metals,10871516,Alemania
Copper bars_ rods and profiles,Metals,11983,Alemania
Copper wire,Metals,6955,Alemania
Copper foil < 0.15 mm thick,Metals,1124,Alemania
Copper tubes and pipes,Metals,800547,Alemania
Copper tube or pipe fittings,Metals,36087,Alemania
Copper wire_ uninsulated,Metals,686429,Alemania
Screws and similar articles of copper,Metals,54910,Alemania
Other articles of copper,Metals,278044,Alemania
Nickel waste and scrap,Metals,68556,Alemania
Nickel bars_ wire etc.,Metals,89286,Alemania
Other articles of nickel,Metals,272532,Alemania
Unwrought aluminum,Metals,5702,Alemania
Waste or scrap_ aluminium,Metals,1023,Alemania
Aluminum bars,Metals,24055,Alemania
Aluminum plates > 0.2 mm,Metals,6539,Alemania
Aluminum foil < 0.2 mm,Metals,27391,Alemania
Aluminum tubes and pipes,Metals,19980,Alemania
Aluminum tube or pipe fittings,Metals,133385,Alemania
Aluminum structures (bridges_ towers etc),Metals,64758,Alemania
Aluminum containers_ <300 liters,Metals,22283,Alemania
Household articles of aluminum,Metals,13729,Alemania
Other articles of aluminum,Metals,1360602,Alemania
Lead refined unwrought,Metals,119393,Alemania
Unwrought zinc,Metals,16796068,Alemania
Other articles of zinc,Metals,67646,Alemania
Other articles of tin,Metals,8584,Alemania
Tungsten (wolfram),Metals,745460,Alemania
Molybdenum,Metals,672467,Alemania
Tantalum,Metals,553995,Alemania
Cobalt,Metals,41939,Alemania
Titanium,Metals,1064657,Alemania
Other metals,Metals,1021,Alemania
Cermets,Metals,670332,Alemania
Handtools for gardening,Metals,20541,Alemania
Handsaws,Metals,163362,Alemania
Pliers_ pincers and other metal handtools,Metals,59990,Alemania
Wrenches,Metals,23541,Alemania
Hand tools n.e.c.,Metals,473253,Alemania
Retail tool sets,Metals,58464,Alemania
Interchangeable tools for hand tools,Metals,3103040,Alemania
Knives and blades for machines,Metals,188207,Alemania
Articles for utensils_ of cermet,Metals,5463420,Alemania
Hand-operated appliances_ food preparation_ <10kg,Metals,26758,Alemania
Razors,Metals,420477,Alemania
Other cutlery,Metals,31560,Alemania
Padlocks and locks,Metals,3125127,Alemania
Base metal mountings_ fittings and similar articles,Metals,9540937,Alemania
Paper clips and similar office articles_ of metal,Metals,87179,Alemania
Ornaments_ statuettes_ etc. of metal,Metals,19633,Alemania
Flexible tubing of base metal,Metals,100435,Alemania
Clasps_ buckles etc. of metal,Metals,1114174,Alemania
Stoppers_ caps and lids of metal,Metals,6141,Alemania
Sign plates and similar plates of base metal,Metals,10996,Alemania
Wire etc. used for welding,Metals,221191,Alemania
Spark-ignition reciprocating internal combustion piston engines,Machinery,60546924,Alemania
Compression-ignition internal combustion piston engines,Machinery,540003,Alemania
Parts suitable for use with spark-ignition engines,Machinery,20389996,Alemania
Gas turbines,Machinery,41677059,Alemania
Other engines and motors,Machinery,897634,Alemania
Pumps for liquids,Machinery,28036675,Alemania
Pumps_ compressors_ fans_ etc.,Machinery,21390292,Alemania
Air conditioners,Machinery,1930101,Alemania
Furnace burners,Machinery,42509,Alemania
