Pais,Corredor,Lugar,Genero,Edad,Tiempo
NJ,22946,23316,Male,73,400.7166667
CA,5599,5750,Female,30,230.7333333
GER,18511,18841,Male,41,301.7166667
NY,21782,22137,Male,31,348.3
NED,1143,1188,Male,49,193.05
TX,7808,7995,Male,50,242.9833333
NY,15654,15937,Female,42,278.8666667
GER,18348,18677,Male,55,300.4666667
NY,3072,3181,Male,28,215.1
NY,21545,21900,Female,40,341.7166667
GBR,7247,7430,Male,30,239.7666667
MO,21629,21984,Male,40,343.85
NY,20357,20704,Female,36,323.05
NY,8059,8252,Female,25,245.4833333
IRL,23157,23528,Male,35,436.2333333
NED,21602,21957,Female,37,342.9333333
NY,12928,13181,Male,40,271.35
NY,16714,17017,Female,32,289.7166667
NJ,22000,22356,Female,23,353.2666667
GBR,23255,23627,Male,45,478.0166667
BRA,4418,4549,Male,46,224.65
GBR,11850,12090,Female,31,263.4666667
NY,9359,9567,Male,32,251.1333333
COL,15027,15300,Male,30,278.2833333
CO,16944,17251,Female,31,290.75
NY,16506,16804,Female,22,288.2833333
NY,17937,18264,Female,44,299.9666667
CA,9439,9649,Male,33,250.15
NY,23008,23378,Female,32,411.5666667
OR,433,451,Male,41,176.05
GBR,5282,5427,Female,42,230.75
NY,13486,13745,Female,31,273.2666667
SUI,4161,4288,Male,50,223.15
ITA,10518,10743,Male,39,256.55
MI,999,1036,Male,42,190.4
FRA,14942,15215,Male,48,280.6
TX,8217,8413,Male,42,246.3333333
SUR,20557,20905,Female,37,324.2166667
GBR,17727,18050,Male,29,294.6
GER,11725,11965,Female,30,262.35
NY,23055,23425,Male,62,416.9666667
ITA,7600,7785,Male,53,242.6333333
NZL,4465,4597,Male,38,224.45
NY,12418,12669,Female,31,263.8666667
CA,4252,4380,Male,41,223.55
LUX,16235,16529,Male,33,287.5333333
WA,1667,1730,Female,39,201.35
PR,20156,20500,Male,52,319.4333333
NY,7863,8051,Female,46,244.85
NJ,9825,10038,Male,41,255.0333333
ITA,7535,7720,Male,30,242.2833333
LUX,3627,3745,Male,49,220.0166667
GBR,21512,21867,Female,58,340.65
NED,11089,11319,Male,33,259.1
AK,53,54,Male,37,147.3333333
ITA,4105,4232,Male,27,222.8666667
FL,6208,6372,Male,31,235.6666667
NY,317,329,Male,34,171.2833333
SUI,13629,13889,Male,43,271.5
NY,16464,16759,Male,52,285.5166667
GBR,10796,11024,Female,43,258.25
NY,21198,21552,Female,33,334.2166667
GAU,11225,11457,Male,56,261.8333333
NY,16619,16921,Female,33,289.15
GBR,13178,13433,Male,49,269.9666667
NY,17276,17592,Male,52,292.2333333
NY,7006,7184,Female,41,237.1833333
NY,14384,14650,Female,30,275.35
CA,17979,18306,Female,31,298.0166667
GBR,22987,23357,Male,54,411.1833333
FRA,8576,8776,Male,32,248.6
NY,2084,2161,Male,34,205.5666667
SUI,21868,22223,Female,33,346.2833333
VEN,17178,17492,Male,51,294.9666667
CA,18644,18975,Male,35,305.1166667
DEN,13992,14256,Male,49,271.8
CAN,5359,5505,Male,36,230.3333333
ITA,4224,4351,Male,45,224.0666667
FL,19957,20296,Male,30,316.5
NED,14337,14603,Male,44,274.6333333
NJ,8817,9019,Male,39,248.2
CA,21839,22194,Female,34,347.7666667
SUI,14690,14961,Female,57,274.25
GA,9271,9475,Male,30,249.2833333
NJ,20870,21222,Male,34,329.45
MA,7004,7181,Male,30,236.4333333
FRA,19707,20045,Female,48,313.1166667
NY,13875,14137,Female,41,274.0333333
FRA,7573,7758,Male,49,240.4166667
NY,16487,16783,Male,67,285.85
GBR,14094,14359,Male,47,275.3
PA,19763,20101,Female,20,310.05
CO,14464,14730,Female,51,271.8166667
NY,21690,22045,Male,42,348.0833333
NY,10506,10731,Female,32,258.5833333
NJ,10420,10643,Male,41,252.8333333
NY,6861,7038,Male,40,238.6666667
NY,6731,6904,Male,38,238.1666667
DEN,1787,1854,Male,51,202.4333333
CA,2993,3101,Male,30,213.9666667
FRA,6009,6168,Male,40,234.65
CA,1665,1728,Male,32,200.3166667
NY,14386,14652,Female,31,277.0833333
NY,18731,19062,Male,22,302.5
NED,9380,9588,Male,44,253.5666667
SUI,11079,11309,Female,38,259.7666667
NY,20663,21012,Male,24,322.7666667
NED,11314,11548,Male,54,258.7166667
NY,20733,21082,Male,48,328.5
TX,10209,10429,Male,40,255.6166667
GBR,21036,21388,Female,42,329.6833333
NED,3336,3450,Male,29,218.0166667
NY,19250,19585,Male,32,309.7166667
NY,16026,16315,Male,42,284.2333333
GBR,5487,5637,Male,50,231.4166667
FL,22128,22486,Male,51,352.3666667
NY,17086,17397,Male,35,291.2666667
NY,18761,19092,Female,34,303.45
NED,18540,18870,Male,46,303.2666667
NY,18078,18407,Female,30,293.5333333
NY,9321,9527,Female,26,252.0666667
AUT,10192,10412,Male,45,254.4333333
NY,6216,6380,Female,27,235.9
RSA,3252,3365,Male,28,215.6666667
FRA,19255,19590,Male,40,305.05
WA,385,399,Male,36,174.7666667
CA,17295,17611,Male,55,294.1
ITA,12458,12709,Male,37,267.05
ITA,22722,23090,Male,63,385.1666667
NY,19677,20014,Male,35,313.15
ITA,12112,12356,Male,37,264.8833333
NY,19735,20073,Male,32,312
GBR,420,437,Male,30,175.7666667
NY,3064,3173,Male,42,215.1
NY,19517,19854,Female,36,312.55
MEX,6645,6817,Male,42,238.25
NC,19857,20195,Female,31,315.9666667
MA,1190,1236,Male,36,193.6833333
NY,3257,3370,Female,23,217.4833333
CA,14766,15038,Male,50,279.3166667
NJ,8804,9006,Male,21,248.55
TN,3776,3897,Female,22,218.7166667
IL,3857,3981,Female,28,221.85
BER,14618,14886,Female,45,277.6333333
NED,7850,8038,Male,48,243.4333333
CA,21836,22191,Male,62,347.3166667
NJ,10348,10571,Male,41,258.0166667
WI,14648,14918,Male,34,279.05
VA,14684,14955,Male,41,276.9
AUS,750,779,Male,26,184.2
GBR,4330,4459,Male,28,224.5833333
NED,6491,6661,Male,50,236.0166667
VEN,2238,2319,Male,61,207.1666667
ITA,13742,14003,Male,43,275.2666667
MA,18037,18364,Female,35,297.2
HI,9587,9800,Female,26,254.45
NC,8250,8447,Female,31,244.6
NY,11910,12152,Male,33,265.3166667
ITA,4472,4604,Male,45,225.3333333
GA,9713,9926,Male,32,253.6333333
PAR,582,605,Male,57,180.75
FRA,9520,9733,Male,54,251.4333333
NY,1188,1234,Male,51,194.0666667
FRA,14501,14767,Male,52,273.8666667
NJ,7493,7678,Male,53,240.9
GBR,17047,17356,Male,36,290.1333333
FRA,22798,23168,Female,56,390
NY,16339,16633,Female,30,283.0833333
NOR,7424,7609,Male,36,239.2666667
NED,3428,3544,Male,29,218.2666667
CA,18655,18986,Female,31,304.4
JPN,1057,1098,Male,47,191.1333333
FRA,4976,5114,Male,42,226.7333333
NY,3562,3680,Male,33,219.7833333
CA,5737,5890,Female,43,233.9166667
FRA,19745,20083,Male,52,315.35
NY,10335,10558,Male,55,258.4
NY,408,425,Female,26,175.5333333
MEX,18650,18981,Female,22,304.8333333
FRA,1619,1678,Male,39,200.55
TN,18505,18835,Male,30,298.5833333
NY,2825,2926,Male,32,213.05
NY,8829,9031,Male,34,247.95
NY,20872,21224,Male,43,328.9333333
GER,15821,16108,Female,44,283.6333333
NY,1355,1407,Male,44,195.2833333
NED,17804,18129,Male,34,297.5666667
NY,3889,4013,Female,32,221.9166667
GER,9328,9534,Male,41,250.9166667
NJ,13393,13651,Male,67,270.8
NY,6660,6832,Male,41,236.9833333
NY,21100,21452,Female,27,329.3333333
NY,10339,10562,Male,44,256.5833333
MA,10794,11022,Female,41,257.55
NY,23250,23622,Male,33,475.3666667
NY,10982,11211,Male,55,258.6666667
GBR,14334,14600,Female,50,272.6666667
FRA,18367,18696,Female,44,299.8
FRA,8816,9018,Male,31,247.7666667
CT,8688,8890,Female,23,249.4833333
NM,22585,22953,Male,49,374.25
GER,11826,12066,Male,50,264.5833333
NY,16756,17060,Female,42,285
NOR,5022,5160,Male,21,228.4666667
ESP,5999,6158,Male,33,232.9
JPN,4690,4823,Male,64,227.4166667
NY,3871,3995,Female,30,221.5166667
GBR,13306,13562,Male,30,269.9166667
GBR,20875,21227,Male,29,328.2333333
NY,21566,21921,Female,35,344.1
MA,7216,7399,Female,23,240.9333333
FRA,3651,3769,Male,41,219.9
FRA,962,997,Male,37,189.6833333
GBR,15375,15654,Female,42,281.7833333
GBR,927,961,Male,49,189.1
CA,16361,16655,Male,65,287.1
NY,4089,4216,Male,24,221.35
NY,22016,22372,Male,43,351.3166667
NY,11395,11629,Male,31,259.4333333
DC,17590,17911,Male,52,297.8666667
NJ,5937,6096,Female,42,235.0333333
AUT,836,867,Male,53,186.7833333
NY,21383,21737,Male,40,336.75
CT,1992,2063,Male,34,205.35
CA,2194,2273,Male,34,206.3333333
PER,18434,18763,Male,50,301
NY,18464,18793,Female,33,298.2333333
NY,18087,18416,Female,32,296.6333333
PER,20980,21332,Male,41,333.5833333
NY,14217,14483,Female,62,277.6833333
TX,14681,14952,Female,24,278.15
NY,13679,13939,Female,60,274.65
GER,13618,13878,Female,47,270.7
MN,8716,8918,Male,51,248.55
CT,4951,5088,Male,41,228.1333333
NY,4853,4989,Female,22,227.4
IL,15103,15377,Female,33,276.5666667
NJ,4287,4416,Male,48,222.9833333
NY,13141,13395,Male,54,269.6333333
NY,9369,9577,Female,34,250.3
MD,7856,8044,Male,52,242.5166667
FRA,2264,2348,Male,41,207.65
AUT,456,475,Male,35,177.0833333
NH,18494,18824,Female,34,300.2666667
TX,20591,20940,Female,41,326.75
CA,11493,11729,Male,32,257.8833333
NY,8348,8546,Female,32,245.1833333
GER,17924,18250,Male,60,298.7666667
NY,11500,11736,Female,27,261.7666667
NJ,2877,2979,Female,32,213.7666667
NY,1405,1457,Male,40,197.8833333
CT,21916,22271,Female,55,349.85
OR,9570,9783,Male,42,253.9833333
SUI,14234,14500,Male,48,272.5
NJ,100,104,Male,27,156
NY,7027,7207,Male,25,239.8
CAN,4654,4787,Female,30,225.3
TX,17430,17751,Male,36,292.4833333
CA,22163,22521,Female,42,353.5666667
GBR,11981,12225,Male,30,264.1166667
NY,15236,15514,Male,40,281.4
MA,20863,21215,Male,53,331.7
ITA,6238,6402,Male,35,235.8
MI,22642,23010,Male,69,376.65
NY,15733,16017,Male,24,284.3166667
CT,22691,23059,Male,51,380.6833333
NY,20188,20532,Male,29,316.8166667
CT,13477,13736,Female,33,273
NY,9151,9353,Male,30,251.5833333
NJ,2200,2279,Male,21,206.1333333
FL,17945,18272,Male,43,298.4
NY,13982,14246,Male,31,275.55
FRA,13403,13661,Male,39,270.2833333
ESP,1595,1654,Male,35,200.55
ITA,15869,16157,Male,31,285.25
SUI,20530,20877,Male,29,324.6666667
MA,13981,14245,Male,40,273.7
IN,13190,13446,Female,37,267.6333333
NED,1038,1079,Male,40,191.3166667
ITA,13752,14013,Male,49,273.0333333
NY,23273,23645,Female,46,501.55
TN,15901,16189,Female,51,285.35
GER,14889,15162,Female,50,278.1166667
NY,11547,11784,Female,40,263.3833333
CAN,4079,4206,Male,27,223.3333333
FRA,15972,16261,Male,61,285.8833333
GBR,1090,1131,Male,37,191.9166667
IRL,16419,16713,Female,53,289.0166667
NY,13977,14241,Female,21,276.05
GER,8527,8726,Male,55,240.9666667
